iguanaID,tx,diet,lps,time,oi
27,W-C,w,c,0324oi,-2.573120929
27,W-C,w,c,0423oi,2.740200375
27,W-C,w,c,0428oi,-1.479755522
27,W-C,w,c,0430oi,-1.69182023
27,W-C,w,c,0504oi,0.268944407
27,W-C,w,c,0511oi,-1.307643381
27,W-C,w,c,0525oi,-1.386419426
27,W-C,w,c,0528oi,-1.783701156
27,W-C,w,c,0530oi,0.958478881
27,W-C,w,c,0603oi,-2.373186616
27,W-C,w,c,0610oi,-0.002462264
27,W-C,w,c,0624oi,-0.017333974
27,W-C,w,c,0628oi,2.222115775
28,G-L,g,l,0324oi,-1.878489059
28,G-L,g,l,0423oi,4.297301191
28,G-L,g,l,0428oi,1.672204374
28,G-L,g,l,0430oi,2.386715426
28,G-L,g,l,0504oi,3.292451915
28,G-L,g,l,0525oi,1.352031332
28,G-L,g,l,0528oi,-0.15426292
28,G-L,g,l,0530oi,1.235646484
28,G-L,g,l,0603oi,4.429352371
28,G-L,g,l,0610oi,3.478327165
28,G-L,g,l,0624oi,0.947139305
28,G-L,g,l,0628oi,-0.211892419
29,G-L,g,l,0324oi,-2.252342836
29,G-L,g,l,0423oi,0.405077045
29,G-L,g,l,0428oi,-1.835425372
29,G-L,g,l,0430oi,-0.139951597
29,G-L,g,l,0504oi,2.681585652
29,G-L,g,l,0511oi,0.505390346
29,G-L,g,l,0525oi,-0.166339193
29,G-L,g,l,0528oi,0.098283662
29,G-L,g,l,0530oi,0.491200636
29,G-L,g,l,0603oi,3.481779579
29,G-L,g,l,0610oi,2.087391266
29,G-L,g,l,0624oi,-0.477008193
30,W-C,w,c,0324oi,1.19273601
30,W-C,w,c,0423oi,1.426733191
30,W-C,w,c,0428oi,-1.824041426
30,W-C,w,c,0430oi,-1.38767183
30,W-C,w,c,0504oi,-0.487456222
30,W-C,w,c,0511oi,-0.087462647
30,W-C,w,c,0525oi,-0.740071597
30,W-C,w,c,0528oi,-1.212385968
30,W-C,w,c,0530oi,-1.385728741
30,W-C,w,c,0603oi,1.977804687
30,W-C,w,c,0610oi,-1.801771276
30,W-C,w,c,0624oi,-0.120165724
30,W-C,w,c,0628oi,0.418239674
31,G-L,g,l,0324oi,0.684806802
31,G-L,g,l,0423oi,-0.06120999
31,G-L,g,l,0428oi,-1.419767356
31,G-L,g,l,0430oi,0.249129128
31,G-L,g,l,0511oi,1.715117989
31,G-L,g,l,0525oi,2.778920016
31,G-L,g,l,0528oi,1.970591386
31,G-L,g,l,0530oi,3.678226719
31,G-L,g,l,0603oi,0.702752523
31,G-L,g,l,0610oi,2.75998174
31,G-L,g,l,0624oi,-0.643556154
31,G-L,g,l,0628oi,1.701555395
32,W-L,w,l,0324oi,0.457433638
32,W-L,w,l,0423oi,-1.674413775
32,W-L,w,l,0428oi,-1.594936211
32,W-L,w,l,0430oi,-0.526534956
32,W-L,w,l,0511oi,1.734922963
32,W-L,w,l,0525oi,0.75310918
32,W-L,w,l,0528oi,-0.689721131
32,W-L,w,l,0530oi,0.628354352
32,W-L,w,l,0603oi,1.530146091
32,W-L,w,l,0610oi,-1.955836464
32,W-L,w,l,0624oi,-1.477214091
32,W-L,w,l,0628oi,0.722421014
33,W-C,w,c,0324oi,1.142530464
33,W-C,w,c,0423oi,-1.315924045
33,W-C,w,c,0428oi,-0.845800502
33,W-C,w,c,0430oi,1.140511555
33,W-C,w,c,0504oi,1.056774411
33,W-C,w,c,0511oi,-1.054592233
33,W-C,w,c,0525oi,-2.148857946
33,W-C,w,c,0528oi,-0.075958033
33,W-C,w,c,0530oi,0.543286543
33,W-C,w,c,0603oi,-0.901055933
33,W-C,w,c,0610oi,-0.357861096
33,W-C,w,c,0624oi,2.977515757
33,W-C,w,c,0628oi,-1.808296847
34,W-C,w,c,0324oi,0.968462689
34,W-C,w,c,0423oi,-1.195075631
34,W-C,w,c,0428oi,-1.263774563
34,W-C,w,c,0430oi,2.484933971
34,W-C,w,c,0504oi,-0.912436896
34,W-C,w,c,0511oi,-1.184940843
34,W-C,w,c,0525oi,-0.374200943
34,W-C,w,c,0528oi,0.12657119
34,W-C,w,c,0530oi,-1.287165097
34,W-C,w,c,0603oi,-1.81886111
34,W-C,w,c,0610oi,4.54975828
34,W-C,w,c,0624oi,4.528918347
34,W-C,w,c,0628oi,-0.68596517
35,W-L,w,l,0324oi,0.503071467
35,W-L,w,l,0423oi,-1.140507803
35,W-L,w,l,0428oi,-2.082018686
35,W-L,w,l,0430oi,-1.887816781
35,W-L,w,l,0504oi,1.456268047
35,W-L,w,l,0511oi,-1.705039067
35,W-L,w,l,0525oi,0.247194569
35,W-L,w,l,0528oi,-0.924575544
35,W-L,w,l,0530oi,-1.93626908
35,W-L,w,l,0603oi,-1.731135162
35,W-L,w,l,0610oi,-0.629246431
35,W-L,w,l,0624oi,-0.569126663
35,W-L,w,l,0628oi,2.712094076
36,G-L,g,l,0324oi,-0.253587777
36,G-L,g,l,0423oi,0.090484564
36,G-L,g,l,0504oi,0.841492592
36,G-L,g,l,0511oi,-0.592993198
36,G-L,g,l,0525oi,-0.217686389
36,G-L,g,l,0528oi,-0.178395405
36,G-L,g,l,0603oi,-0.062868107
36,G-L,g,l,0610oi,3.40129316
36,G-L,g,l,0624oi,-1.135096349
