iguanaID,tx,diet,lps,time,igy
13,G-C,g,c,0525igy,0.031785714
13,G-C,g,c,0528igy,0.035491071
13,G-C,g,c,0530igy,0.053794643
13,G-C,g,c,0603igy,0.11875
13,G-C,g,c,0610igy,0.062991071
13,G-C,g,c,0624igy,0.049196429
14,G-L,g,l,0423igy,0.080446429
14,G-L,g,l,0428igy,0.12875
14,G-L,g,l,0430igy,0.100580357
14,G-L,g,l,0504igy,0.195982143
14,G-L,g,l,0511igy,0.220669643
14,G-L,g,l,0525igy,0.176785714
14,G-L,g,l,0528igy,0.1884375
14,G-L,g,l,0530igy,0.0965625
14,G-L,g,l,0603igy,0.175133929
14,G-L,g,l,0610igy,0.197142857
15,G-C,g,c,0423igy,0.1296875
15,G-C,g,c,0428igy,0.040580357
15,G-C,g,c,0430igy,0.052276786
15,G-C,g,c,0504igy,0.137678571
15,G-C,g,c,0511igy,0.049330357
15,G-C,g,c,0525igy,0.061071429
15,G-C,g,c,0528igy,0.067767857
15,G-C,g,c,0603igy,0.081964286
15,G-C,g,c,0610igy,0.048080357
15,G-C,g,c,0624igy,-0.005089286
16,W-C,w,c,0423igy,0.051607143
16,W-C,w,c,0428igy,0.068571429
16,W-C,w,c,0430igy,0.065848214
16,W-C,w,c,0504igy,0.046830357
16,W-C,w,c,0511igy,0.059821429
16,W-C,w,c,0525igy,0.042589286
16,W-C,w,c,0528igy,0.150982143
16,W-C,w,c,0530igy,0.087098214
16,W-C,w,c,0603igy,0.128660714
16,W-C,w,c,0610igy,0.078258929
16,W-C,w,c,0624igy,0.037633929
17,W-L,w,l,0428igy,0.103080357
17,W-L,w,l,0430igy,0.07625
17,W-L,w,l,0504igy,0.094866071
17,W-L,w,l,0511igy,0.120133929
17,W-L,w,l,0525igy,0.116830357
17,W-L,w,l,0528igy,0.097589286
17,W-L,w,l,0530igy,0.122276786
17,W-L,w,l,0603igy,0.142276786
17,W-L,w,l,0610igy,0.157723214
17,W-L,w,l,0624igy,0.119107143
18,G-C,g,c,0428igy,0.033169643
18,G-C,g,c,0430igy,0.079866071
18,G-C,g,c,0504igy,0.046830357
18,G-C,g,c,0511igy,0.057946429
18,G-C,g,c,0525igy,0.044285714
18,G-C,g,c,0530igy,0.054017857
18,G-C,g,c,0603igy,0.104910714
18,G-C,g,c,0610igy,0.045357143
18,G-C,g,c,0624igy,0.016964286
19,W-C,w,c,0423igy,0.096205357
19,W-C,w,c,0428igy,0.073482143
19,W-C,w,c,0430igy,0.081607143
19,W-C,w,c,0504igy,0.227053571
19,W-C,w,c,0511igy,0.080401786
19,W-C,w,c,0525igy,0.095580357
19,W-C,w,c,0528igy,0.217589286
19,W-C,w,c,0610igy,0.082232143
19,W-C,w,c,0624igy,0.038125
20,W-C,w,c,0423igy,0.081116071
20,W-C,w,c,0430igy,0.108303571
20,W-C,w,c,0504igy,0.086607143
20,W-C,w,c,0511igy,0.050223214
20,W-C,w,c,0525igy,0.024508929
20,W-C,w,c,0530igy,0.026026786
20,W-C,w,c,0603igy,0.107276786
20,W-C,w,c,0610igy,0.057767857
20,W-C,w,c,0624igy,0.007098214
21,W-L,w,l,0428igy,0.056830357
21,W-L,w,l,0430igy,0.038080357
21,W-L,w,l,0504igy,0.096517857
21,W-L,w,l,0511igy,0.092767857
21,W-L,w,l,0525igy,0.085669643
21,W-L,w,l,0528igy,0.0996875
21,W-L,w,l,0530igy,0.085625
21,W-L,w,l,0603igy,0.086919643
21,W-L,w,l,0610igy,0.144419643
21,W-L,w,l,0624igy,0.0684375
22,G-L,g,l,0423igy,0.003874362
22,G-L,g,l,0428igy,0.129553571
22,G-L,g,l,0430igy,0.102767857
22,G-L,g,l,0511igy,0.139285714
22,G-L,g,l,0525igy,0.109241071
22,G-L,g,l,0528igy,0.133348214
22,G-L,g,l,0603igy,0.10875
22,G-L,g,l,0610igy,0.137633929
22,G-L,g,l,0624igy,0.113035714
23,G-C,g,c,0423igy,0
23,G-C,g,c,0428igy,0.0665625
23,G-C,g,c,0430igy,0.043392857
23,G-C,g,c,0504igy,0.050714286
23,G-C,g,c,0511igy,0.043258929
23,G-C,g,c,0525igy,0.061964286
23,G-C,g,c,0528igy,0.043705357
23,G-C,g,c,0530igy,0.082321429
23,G-C,g,c,0603igy,0.045982143
23,G-C,g,c,0610igy,0.079151786
23,G-C,g,c,0624igy,0.116116071
24,G-L,g,l,0423igy,0.004595823
24,G-L,g,l,0428igy,0.040357143
24,G-L,g,l,0430igy,0.060848214
24,G-L,g,l,0504igy,0.118303571
24,G-L,g,l,0511igy,0.160803571
