iguanaID,tx,diet,lps,time,drom
22,G-L,g,l,0504dromstd,-3.056927654
22,G-L,g,l,0511dromstd,-0.572280522
22,G-L,g,l,0525dromstd,1.260144344
22,G-L,g,l,0528dromstd,0.914515689
22,G-L,g,l,0530dromstd,1.013005965
22,G-L,g,l,0603dromstd,-0.272712749
22,G-L,g,l,0610dromstd,-0.294818556
22,G-L,g,l,0624dromstd,-0.612963316
22,G-L,g,l,0628dromstd,-0.734326587
23,G-C,g,c,0423dromstd,-0.678170459
23,G-C,g,c,0428dromstd,-0.947106853
23,G-C,g,c,0430dromstd,0.50864738
23,G-C,g,c,0504dromstd,0.563157873
23,G-C,g,c,0511dromstd,-0.362580802
23,G-C,g,c,0525dromstd,0.010594931
23,G-C,g,c,0528dromstd,-0.836921857
23,G-C,g,c,0530dromstd,-0.801603735
23,G-C,g,c,0603dromstd,-1.115150426
23,G-C,g,c,0610dromstd,-0.236229869
23,G-C,g,c,0624dromstd,0.207435756
23,G-C,g,c,0628dromstd,0.933445102
24,G-L,g,l,0423dromstd,1.363030247
24,G-L,g,l,0428dromstd,0.74360562
24,G-L,g,l,0430dromstd,0.527663538
24,G-L,g,l,0504dromstd,-0.488623733
24,G-L,g,l,0511dromstd,1.390741859
24,G-L,g,l,0525dromstd,3.065049053
24,G-L,g,l,0528dromstd,1.722645429
24,G-L,g,l,0530dromstd,1.12798086
24,G-L,g,l,0603dromstd,1.777310103
24,G-L,g,l,0610dromstd,1.40170603
24,G-L,g,l,0624dromstd,-0.803579957
24,G-L,g,l,0628dromstd,0.874312821
25,G-C,g,c,0423dromstd,-0.311213029
25,G-C,g,c,0428dromstd,-0.59129307
25,G-C,g,c,0430dromstd,1.11478743
25,G-C,g,c,0504dromstd,1.34995574
25,G-C,g,c,0511dromstd,1.737911396
25,G-C,g,c,0525dromstd,-0.535606156
25,G-C,g,c,0528dromstd,0.403189962
25,G-C,g,c,0530dromstd,-1.699152981
25,G-C,g,c,0603dromstd,-0.24672847
25,G-C,g,c,0610dromstd,0.868039513
25,G-C,g,c,0624dromstd,-0.642863965
25,G-C,g,c,0628dromstd,0.273335758
26,W-L,w,l,0423dromstd,-0.937334145
26,W-L,w,l,0428dromstd,0.621817009
26,W-L,w,l,0430dromstd,0.240044142
26,W-L,w,l,0504dromstd,-0.073499832
26,W-L,w,l,0511dromstd,-0.205306012
26,W-L,w,l,0525dromstd,-0.369304708
26,W-L,w,l,0528dromstd,0.000594419
26,W-L,w,l,0530dromstd,-0.268337423
26,W-L,w,l,0603dromstd,-0.103131139
26,W-L,w,l,0610dromstd,-0.629793005
26,W-L,w,l,0624dromstd,-0.889544324
26,W-L,w,l,0628dromstd,-0.637784087
27,W-C,w,c,0423dromstd,1.103866562
27,W-C,w,c,0428dromstd,-0.91845071
27,W-C,w,c,0430dromstd,-1.160020523
27,W-C,w,c,0504dromstd,0.706626227
27,W-C,w,c,0511dromstd,-0.350930818
27,W-C,w,c,0525dromstd,-0.736998735
27,W-C,w,c,0528dromstd,-0.925081465
27,W-C,w,c,0530dromstd,-0.319261972
27,W-C,w,c,0603dromstd,-1.145237486
27,W-C,w,c,0610dromstd,-0.967314788
27,W-C,w,c,0624dromstd,-0.355070213
27,W-C,w,c,0628dromstd,-0.379532899
28,G-L,g,l,0423dromstd,2.273543371
28,G-L,g,l,0428dromstd,1.753734682
28,G-L,g,l,0430dromstd,2.495835936
28,G-L,g,l,0504dromstd,-0.230734541
28,G-L,g,l,0511dromstd,0.26535336
28,G-L,g,l,0525dromstd,1.733111766
28,G-L,g,l,0528dromstd,-0.472528811
28,G-L,g,l,0530dromstd,1.150979044
28,G-L,g,l,0603dromstd,2.307936431
28,G-L,g,l,0610dromstd,2.069107594
28,G-L,g,l,0624dromstd,-0.310219239
28,G-L,g,l,0628dromstd,-0.622095931
29,G-L,g,l,0423dromstd,-0.327267417
29,G-L,g,l,0428dromstd,-0.954270889
29,G-L,g,l,0430dromstd,0.656022608
29,G-L,g,l,0504dromstd,2.506762069
29,G-L,g,l,0511dromstd,-0.269380926
29,G-L,g,l,0525dromstd,-0.221311676
29,G-L,g,l,0528dromstd,0.620650329
29,G-L,g,l,0530dromstd,0.63023446
29,G-L,g,l,0603dromstd,2.511707882
29,G-L,g,l,0610dromstd,1.715028139
29,G-L,g,l,0624dromstd,-0.319563192
29,G-L,g,l,0628dromstd,-1.37392065
30,W-C,w,c,0423dromstd,1.340095408
30,W-C,w,c,0428dromstd,-0.40980416
30,W-C,w,c,0430dromstd,-0.380358027
30,W-C,w,c,0504dromstd,-0.172275482
30,W-C,w,c,0511dromstd,-0.750525284
30,W-C,w,c,0525dromstd,-0.895671677
30,W-C,w,c,0528dromstd,-1.474609689
30,W-C,w,c,0530dromstd,-0.948426563
30,W-C,w,c,0603dromstd,0.542373054
30,W-C,w,c,0610dromstd,-0.915094436
30,W-C,w,c,0624dromstd,-0.953083204
30,W-C,w,c,0628dromstd,0.634163352
31,G-L,g,l,0423dromstd,0.175005566
31,G-L,g,l,0428dromstd,-0.218763203
31,G-L,g,l,0430dromstd,-0.275769155
31,G-L,g,l,0504dromstd,0.914256677
31,G-L,g,l,0511dromstd,1.331326938
31,G-L,g,l,0525dromstd,1.449331313
31,G-L,g,l,0528dromstd,1.596283324
31,G-L,g,l,0530dromstd,0.760009924
31,G-L,g,l,0603dromstd,0.659986107
31,G-L,g,l,0610dromstd,2.350588025
31,G-L,g,l,0624dromstd,-0.06167009
31,G-L,g,l,0628dromstd,1.604415478
32,W-L,w,l,0423dromstd,-0.857062207
32,W-L,w,l,0428dromstd,-0.500548615
32,W-L,w,l,0430dromstd,-1.209937938
32,W-L,w,l,0504dromstd,-1.037066385
32,W-L,w,l,0511dromstd,1.351131912
32,W-L,w,l,0525dromstd,-0.106884074
32,W-L,w,l,0528dromstd,-0.839860511
32,W-L,w,l,0530dromstd,-0.27655106
32,W-L,w,l,0603dromstd,0.651780545
32,W-L,w,l,0610dromstd,-0.58776199
32,W-L,w,l,0624dromstd,0.024294278
32,W-L,w,l,0628dromstd,0.893621321
