iguanaID,tx,diet,lps,time,totri
21,W-L,w,l,0511totri,1.270114943
21,W-L,w,l,0525totri,0.936454849
21,W-L,w,l,0528totri,0.593345656
21,W-L,w,l,0530totri,1.06284658
21,W-L,w,l,0603totri,1.316992106
21,W-L,w,l,0610totri,1.280808081
21,W-L,w,l,0624totri,2.670103093
21,W-L,w,l,0628totri,1.37516397
22,G-L,g,l,0324totri,1.548728814
22,G-L,g,l,0423totri,1.001489203
22,G-L,g,l,0428totri,0.815865187
22,G-L,g,l,0430totri,5.250719277
22,G-L,g,l,0504totri,5.393070045
22,G-L,g,l,0511totri,5.626436782
22,G-L,g,l,0525totri,7.698578595
22,G-L,g,l,0528totri,1.591497227
22,G-L,g,l,0530totri,5.201478743
22,G-L,g,l,0603totri,6.281678438
22,G-L,g,l,0610totri,7.090909091
22,G-L,g,l,0624totri,4.569072165
22,G-L,g,l,0628totri,3.694796677
23,G-C,g,c,0324totri,2.021186441
23,G-C,g,c,0423totri,3.482874162
23,G-C,g,c,0428totri,4.32593506
23,G-C,g,c,0430totri,3.629264283
23,G-C,g,c,0504totri,5.70976155
23,G-C,g,c,0511totri,5.810344828
23,G-C,g,c,0525totri,6.206103679
23,G-C,g,c,0528totri,2.035120148
23,G-C,g,c,0530totri,2.541589649
23,G-C,g,c,0603totri,3.687162443
23,G-C,g,c,0610totri,6.381818182
23,G-C,g,c,0624totri,7.560824742
23,G-C,g,c,0628totri,8.992129427
24,G-L,g,l,0324totri,0.724576271
24,G-L,g,l,0423totri,4.810126582
24,G-L,g,l,0428totri,3.787505138
24,G-L,g,l,0430totri,3.877928483
24,G-L,g,l,0504totri,6.460506706
24,G-L,g,l,0511totri,6.314176245
24,G-L,g,l,0528totri,7.25323475
24,G-L,g,l,0530totri,5.07948244
24,G-L,g,l,0603totri,8.155380141
24,G-L,g,l,0610totri,8.993939394
24,G-L,g,l,0624totri,9.210309278
24,G-L,g,l,0628totri,7.409269786
25,G-C,g,c,0324totri,2.794491525
25,G-C,g,c,0423totri,6.113179449
25,G-C,g,c,0428totri,5.791204275
25,G-C,g,c,0430totri,2.907932594
25,G-C,g,c,0504totri,7.513040238
25,G-C,g,c,0511totri,5.256704981
25,G-C,g,c,0525totri,6.551003344
25,G-C,g,c,0528totri,5.913123845
25,G-C,g,c,0530totri,7.353049908
25,G-C,g,c,0603totri,7.222683839
25,G-C,g,c,0610totri,6.775757576
25,G-C,g,c,0624totri,8.944329897
25,G-C,g,c,0628totri,5.986007871
26,W-L,w,l,0324totri,1.061440678
26,W-L,w,l,0423totri,1.548771407
26,W-L,w,l,0428totri,0.548705302
26,W-L,w,l,0430totri,2.135224003
26,W-L,w,l,0504totri,1.831222057
26,W-L,w,l,0511totri,5.197318008
26,W-L,w,l,0525totri,4.816053512
26,W-L,w,l,0528totri,0.878003697
26,W-L,w,l,0530totri,2.147874307
26,W-L,w,l,0603totri,6.946406315
26,W-L,w,l,0610totri,3.565656566
26,W-L,w,l,0624totri,4.032989691
26,W-L,w,l,0628totri,3.683865326
27,W-C,w,c,0324totri,0.669491525
27,W-C,w,c,0423totri,2.075577066
27,W-C,w,c,0428totri,2.815454172
27,W-C,w,c,0430totri,2.3756679
27,W-C,w,c,0504totri,2.911698957
27,W-C,w,c,0511totri,3.063218391
27,W-C,w,c,0525totri,2.621237458
27,W-C,w,c,0528totri,1.715341959
27,W-C,w,c,0530totri,1.11090573
27,W-C,w,c,0603totri,3.13253012
27,W-C,w,c,0610totri,2.733333333
27,W-C,w,c,0624totri,5.907216495
27,W-C,w,c,0628totri,4.632706603
28,G-L,g,l,0324totri,0.781779661
28,G-L,g,l,0423totri,7.012285927
28,G-L,g,l,0428totri,1.750924784
28,G-L,g,l,0430totri,3.863636364
28,G-L,g,l,0504totri,1.562965723
28,G-L,g,l,0511totri,8.33908046
28,G-L,g,l,0525totri,6.996237458
28,G-L,g,l,0528totri,1.722735675
28,G-L,g,l,0530totri,5.980473619
28,G-L,g,l,0603totri,10.74366431
28,G-L,g,l,0610totri,7.606060606
28,G-L,g,l,0624totri,9.560824742
28,G-L,g,l,0628totri,6.724967206
29,G-L,g,l,0324totri,1.745762712
29,G-L,g,l,0423totri,5.956813105
29,G-L,g,l,0428totri,2.59350596
29,G-L,g,l,0430totri,1.808867362
29,G-L,g,l,0504totri,6.618852459
29,G-L,g,l,0511totri,5.718390805
29,G-L,g,l,0525totri,7.349498328
29,G-L,g,l,0528totri,3.979667283
29,G-L,g,l,0530totri,5.319900291
29,G-L,g,l,0603totri,8.724553386
29,G-L,g,l,0610totri,8.414141414
29,G-L,g,l,0624totri,8.971134021
30,W-C,w,c,0324totri,2.033898305
30,W-C,w,c,0423totri,1.820551005
30,W-C,w,c,0428totri,2.342786683
30,W-C,w,c,0430totri,1.035767511
30,W-C,w,c,0504totri,1.570417288
30,W-C,w,c,0511totri,4.727969349
30,W-C,w,c,0525totri,4.404264214
30,W-C,w,c,0528totri,2.105360444
30,W-C,w,c,0530totri,2.798088907
30,W-C,w,c,0603totri,5.076859161
30,W-C,w,c,0610totri,3.44040404
30,W-C,w,c,0624totri,2.832989691
30,W-C,w,c,0628totri,3.154787932
31,G-L,g,l,0324totri,1.228813559
31,G-L,g,l,0423totri,2.926284438
31,G-L,g,l,0428totri,3.764899301
31,G-L,g,l,0430totri,4.288375559
31,G-L,g,l,0504totri,6.693368107
31,G-L,g,l,0511totri,8.204980843
31,G-L,g,l,0525totri,3.954849498
31,G-L,g,l,0528totri,3.118299445
31,G-L,g,l,0530totri,1.551724138
31,G-L,g,l,0603totri,7.53842958
31,G-L,g,l,0610totri,7.707070707
31,G-L,g,l,0624totri,7.884536082
31,G-L,g,l,0628totri,10.26672497
32,W-L,w,l,0324totri,1.697033898
32,W-L,w,l,0423totri,1.083395383
32,W-L,w,l,0428totri,0.854911632
32,W-L,w,l,0430totri,2.263412817
