iguanaID,tx,diet,lps,time,trtri
4,G-L,g,l,0624trtri,5.453769117
4,G-L,g,l,0628trtri,5.480550098
5,W-L,w,l,0324trtri,1.804288686
5,W-L,w,l,0423trtri,1.266602656
5,W-L,w,l,0428trtri,0.736849528
5,W-L,w,l,0430trtri,2.40578234
5,W-L,w,l,0504trtri,4.63971319
5,W-L,w,l,0511trtri,3.073994253
5,W-L,w,l,0525trtri,3.447916667
5,W-L,w,l,0528trtri,1.100855649
5,W-L,w,l,0530trtri,1.910388971
5,W-L,w,l,0610trtri,2.529306731
5,W-L,w,l,0624trtri,1.537535906
5,W-L,w,l,0628trtri,3.162278978
6,W-C,w,c,0324trtri,1.188990238
6,W-C,w,c,0423trtri,0.863338134
6,W-C,w,c,0428trtri,0.761881258
6,W-C,w,c,0430trtri,1.360181775
6,W-C,w,c,0504trtri,0.989990061
6,W-C,w,c,0511trtri,1.826149425
6,W-C,w,c,0525trtri,1.253951149
6,W-C,w,c,0528trtri,1.062430677
6,W-C,w,c,0530trtri,1.00337624
6,W-C,w,c,0603trtri,2.233932136
6,W-C,w,c,0610trtri,1.308904588
6,W-C,w,c,0624trtri,1.681934632
6,W-C,w,c,0628trtri,2.063654224
7,G-C,g,c,0324trtri,1.554648744
7,G-C,g,c,0423trtri,2.069131061
7,G-C,g,c,0428trtri,1.963051756
7,G-C,g,c,0430trtri,3.507404215
7,G-C,g,c,0504trtri,2.820176061
7,G-C,g,c,0511trtri,4.168103448
7,G-C,g,c,0525trtri,2.341235632
7,G-C,g,c,0528trtri,5.340675012
7,G-C,g,c,0530trtri,2.63206021
7,G-C,g,c,0603trtri,4.224351297
7,G-C,g,c,0610trtri,5.050073752
7,G-C,g,c,0624trtri,4.123515255
7,G-C,g,c,0628trtri,2.418860511
8,G-L,g,l,0324trtri,1.405024804
8,G-L,g,l,0423trtri,2.247959674
8,G-L,g,l,0428trtri,0.710054999
8,G-L,g,l,0430trtri,1.618349918
8,G-L,g,l,0504trtri,3.208149936
8,G-L,g,l,0511trtri,0.992816092
8,G-L,g,l,0525trtri,4.087284483
8,G-L,g,l,0528trtri,1.519172873
8,G-L,g,l,0530trtri,2.000773722
8,G-L,g,l,0603trtri,5.112974052
8,G-L,g,l,0610trtri,3.031985094
8,G-L,g,l,0624trtri,5.164195326
8,G-L,g,l,0628trtri,5.351277014
9,W-C,w,c,0423trtri,2.595215234
9,W-C,w,c,0430trtri,2.312544073
9,W-C,w,c,0504trtri,1.963651853
9,W-C,w,c,0511trtri,2.14295977
9,W-C,w,c,0525trtri,1.64295977
