iguanaID,tx,diet,lps,time,oxy
16,W-C,w,c,0511oxystd,0.286460756
16,W-C,w,c,0525oxystd,0.381080434
16,W-C,w,c,0528oxystd,-0.486392403
16,W-C,w,c,0530oxystd,0.047100454
16,W-C,w,c,0610oxystd,1.219952125
16,W-C,w,c,0624oxystd,1.855209255
16,W-C,w,c,0628oxystd,0.842050867
17,W-L,w,l,0324oxystd,-0.047246923
17,W-L,w,l,0423oxystd,1.011063572
17,W-L,w,l,0428oxystd,-0.131702805
17,W-L,w,l,0430oxystd,-1.211751978
17,W-L,w,l,0504oxystd,-26.71672441
17,W-L,w,l,0511oxystd,0.39816939
17,W-L,w,l,0525oxystd,-0.189142612
17,W-L,w,l,0528oxystd,0.017987132
17,W-L,w,l,0530oxystd,0.663358193
17,W-L,w,l,0603oxystd,0.756944668
17,W-L,w,l,0610oxystd,0.33121803
17,W-L,w,l,0624oxystd,-0.33773624
17,W-L,w,l,0628oxystd,-0.544373624
18,G-C,g,c,0324oxystd,-0.157886535
18,G-C,g,c,0423oxystd,-0.926056466
18,G-C,g,c,0428oxystd,-0.718093867
18,G-C,g,c,0430oxystd,-1.423091576
18,G-C,g,c,0504oxystd,1.116186674
18,G-C,g,c,0511oxystd,0.454023708
18,G-C,g,c,0525oxystd,0.817133352
18,G-C,g,c,0528oxystd,0.354240156
18,G-C,g,c,0530oxystd,0.663358193
18,G-C,g,c,0603oxystd,0.024271058
18,G-C,g,c,0610oxystd,0.034973332
18,G-C,g,c,0624oxystd,-0.620696949
18,G-C,g,c,0628oxystd,-0.052416546
19,W-C,w,c,0324oxystd,0.174032299
19,W-C,w,c,0423oxystd,-0.990627134
19,W-C,w,c,0428oxystd,-0.185011084
19,W-C,w,c,0430oxystd,0.478964808
19,W-C,w,c,0504oxystd,1.196051555
19,W-C,w,c,0511oxystd,1.180129832
19,W-C,w,c,0525oxystd,0.347537902
19,W-C,w,c,0528oxystd,0.466324497
19,W-C,w,c,0530oxystd,1.727803378
19,W-C,w,c,0603oxystd,1.070947643
19,W-C,w,c,0610oxystd,0.034973332
19,W-C,w,c,0624oxystd,0.44040571
19,W-C,w,c,0628oxystd,-0.365480141
20,W-C,w,c,0324oxystd,0.118712494
20,W-C,w,c,0423oxystd,-0.732344462
20,W-C,w,c,0428oxystd,-0.558169032
20,W-C,w,c,0430oxystd,0.21479031
20,W-C,w,c,0504oxystd,-0.011488809
20,W-C,w,c,0511oxystd,-3.344069866
20,W-C,w,c,0525oxystd,1.018388544
20,W-C,w,c,0528oxystd,0.522366667
20,W-C,w,c,0530oxystd,0.362735089
20,W-C,w,c,0603oxystd,-0.813070209
20,W-C,w,c,0610oxystd,-0.446424302
20,W-C,w,c,0624oxystd,0.511145887
20,W-C,w,c,0628oxystd,-0.052416546
21,W-L,w,l,0324oxystd,0.450631328
21,W-L,w,l,0423oxystd,-0.409491122
21,W-L,w,l,0428oxystd,1.201004153
21,W-L,w,l,0430oxystd,0.690304406
21,W-L,w,l,0504oxystd,-0.011488809
21,W-L,w,l,0511oxystd,0.286460756
21,W-L,w,l,0525oxystd,-0.725823125
21,W-L,w,l,0528oxystd,0.690493179
21,W-L,w,l,0530oxystd,-0.010100352
21,W-L,w,l,0603oxystd,-0.865404038
21,W-L,w,l,0610oxystd,-0.594546651
21,W-L,w,l,0624oxystd,1.006327128
21,W-L,w,l,0628oxystd,0.573710643
22,G-L,g,l,0324oxystd,1.501707636
22,G-L,g,l,0423oxystd,-0.47406179
22,G-L,g,l,0428oxystd,0.614613091
22,G-L,g,l,0430oxystd,-0.049384188
22,G-L,g,l,0504oxystd,-26.71672441
22,G-L,g,l,0511oxystd,-0.942334224
22,G-L,g,l,0525oxystd,-0.189142612
22,G-L,g,l,0528oxystd,0.354240156
22,G-L,g,l,0530oxystd,-0.382935793
22,G-L,g,l,0603oxystd,0.181272546
22,G-L,g,l,0610oxystd,0.183095681
22,G-L,g,l,0624oxystd,0.086704824
22,G-L,g,l,0628oxystd,0.886774238
23,G-C,g,c,0324oxystd,1.391068024
23,G-C,g,c,0423oxystd,0.365356892
23,G-C,g,c,0428oxystd,0.827846204
23,G-C,g,c,0430oxystd,-0.630568083
23,G-C,g,c,0504oxystd,0.274347046
23,G-C,g,c,0511oxystd,-0.104519465
23,G-C,g,c,0525oxystd,-0.524567933
23,G-C,g,c,0528oxystd,-0.710561085
23,G-C,g,c,0530oxystd,1.108405972
23,G-C,g,c,0603oxystd,0.181272546
23,G-C,g,c,0610oxystd,-1.001883111
23,G-C,g,c,0624oxystd,0.44040571
23,G-C,g,c,0628oxystd,0.037030195
24,G-L,g,l,0324oxystd,1.612347247
24,G-L,g,l,0423oxystd,0.107074221
24,G-L,g,l,0428oxystd,0.561304813
24,G-L,g,l,0430oxystd,-1.581596275
24,G-L,g,l,0504oxystd,-0.13398989
24,G-L,g,l,0511oxystd,-0.663062638
24,G-L,g,l,0525oxystd,-0.021429951
24,G-L,g,l,0528oxystd,-0.542434573
24,G-L,g,l,0530oxystd,0.139033825
24,G-L,g,l,0603oxystd,-1.022405526
24,G-L,g,l,0610oxystd,0.47934038
24,G-L,g,l,0624oxystd,0.581886065
24,G-L,g,l,0628oxystd,-0.097139917
25,G-C,g,c,0324oxystd,1.114468996
25,G-C,g,c,0423oxystd,0.946492904
25,G-C,g,c,0428oxystd,0.3480717
25,G-C,g,c,0430oxystd,-0.894742581
25,G-C,g,c,0504oxystd,-1.113998536
25,G-C,g,c,0511oxystd,0.118897804
25,G-C,g,c,0525oxystd,1.186101205
25,G-C,g,c,0528oxystd,0.130071473
25,G-C,g,c,0530oxystd,0.810137619
25,G-C,g,c,0603oxystd,0.390607863
25,G-C,g,c,0610oxystd,0.47934038
25,G-C,g,c,0624oxystd,-0.054775531
25,G-C,g,c,0628oxystd,-0.007693176
26,W-L,w,l,0324oxystd,1.335748219
26,W-L,w,l,0423oxystd,0.817351568
26,W-L,w,l,0428oxystd,0.721229648
26,W-L,w,l,0430oxystd,-1.211751978
26,W-L,w,l,0504oxystd,0.315180739
26,W-L,w,l,0511oxystd,-0.160373782
26,W-L,w,l,0525oxystd,-0.222685144
26,W-L,w,l,0528oxystd,-0.654518914
26,W-L,w,l,0530oxystd,-1.352307941
26,W-L,w,l,0603oxystd,-0.917737868
26,W-L,w,l,0610oxystd,-0.742669
26,W-L,w,l,0624oxystd,-0.125515708
26,W-L,w,l,0628oxystd,0.797327496
27,W-C,w,c,0324oxystd,1.557027442
27,W-C,w,c,0423oxystd,-1.636333813
27,W-C,w,c,0428oxystd,0.561304813
27,W-C,w,c,0430oxystd,0.531799707
27,W-C,w,c,0504oxystd,0.43768182
27,W-C,w,c,0511oxystd,0.956712563
27,W-C,w,c,0525oxystd,0.649420691
27,W-C,w,c,0528oxystd,0.858619691
27,W-C,w,c,0530oxystd,-1.277740853
27,W-C,w,c,0603oxystd,1.227949131
27,W-C,w,c,0610oxystd,-0.964852524
27,W-C,w,c,0624oxystd,-0.33773624
