iguanaID,tx,diet,lps,time,lys
27,W-C,w,c,0423lys,0
27,W-C,w,c,0428lys,2.333333333
27,W-C,w,c,0430lys,1.666666667
27,W-C,w,c,0504lys,0.666666667
27,W-C,w,c,0511lys,0.333333333
27,W-C,w,c,0525lys,0.666666667
27,W-C,w,c,0528lys,2.333333333
27,W-C,w,c,0530lys,2
27,W-C,w,c,0603lys,4.333333333
27,W-C,w,c,0610lys,0.333333333
27,W-C,w,c,0624lys,3.666666667
27,W-C,w,c,0628lys,0.333333333
28,G-L,g,l,0324lys,2.666666667
28,G-L,g,l,0423lys,2
28,G-L,g,l,0428lys,1
28,G-L,g,l,0430lys,0.333333333
28,G-L,g,l,0504lys,0
28,G-L,g,l,0525lys,1
28,G-L,g,l,0528lys,2
28,G-L,g,l,0530lys,2.333333333
28,G-L,g,l,0603lys,9.666666667
28,G-L,g,l,0610lys,0.333333333
28,G-L,g,l,0628lys,2.666666667
29,G-L,g,l,0324lys,2.666666667
29,G-L,g,l,0423lys,1.666666667
29,G-L,g,l,0428lys,3
29,G-L,g,l,0430lys,1
29,G-L,g,l,0511lys,0.666666667
29,G-L,g,l,0525lys,10.33333333
29,G-L,g,l,0528lys,1.333333333
29,G-L,g,l,0530lys,3.333333333
29,G-L,g,l,0610lys,2.333333333
29,G-L,g,l,0624lys,8
30,W-C,w,c,0324lys,0
30,W-C,w,c,0423lys,0.666666667
30,W-C,w,c,0428lys,0.666666667
30,W-C,w,c,0430lys,0.333333333
30,W-C,w,c,0504lys,0.333333333
30,W-C,w,c,0511lys,0
30,W-C,w,c,0525lys,0
30,W-C,w,c,0528lys,0.333333333
30,W-C,w,c,0530lys,0.666666667
30,W-C,w,c,0603lys,0.333333333
30,W-C,w,c,0610lys,0
30,W-C,w,c,0624lys,0.333333333
30,W-C,w,c,0628lys,0
31,G-L,g,l,0324lys,6.333333333
31,G-L,g,l,0423lys,3.666666667
31,G-L,g,l,0428lys,0.333333333
31,G-L,g,l,0430lys,3
31,G-L,g,l,0504lys,0.666666667
31,G-L,g,l,0511lys,5.666666667
31,G-L,g,l,0525lys,0.333333333
31,G-L,g,l,0528lys,2.666666667
31,G-L,g,l,0530lys,1.666666667
31,G-L,g,l,0603lys,9.666666667
31,G-L,g,l,0610lys,0
31,G-L,g,l,0624lys,9
31,G-L,g,l,0628lys,8.333333333
32,W-L,w,l,0324lys,1.666666667
32,W-L,w,l,0423lys,2.666666667
32,W-L,w,l,0428lys,1
32,W-L,w,l,0430lys,0
32,W-L,w,l,0511lys,2
32,W-L,w,l,0525lys,0.333333333
32,W-L,w,l,0528lys,3.333333333
32,W-L,w,l,0530lys,1.666666667
32,W-L,w,l,0603lys,0.333333333
32,W-L,w,l,0610lys,1
32,W-L,w,l,0624lys,2.333333333
32,W-L,w,l,0628lys,0.666666667
33,W-C,w,c,0324lys,2
33,W-C,w,c,0423lys,4
33,W-C,w,c,0428lys,1.666666667
33,W-C,w,c,0430lys,2
33,W-C,w,c,0504lys,0.666666667
33,W-C,w,c,0511lys,3.333333333
33,W-C,w,c,0525lys,0.333333333
33,W-C,w,c,0528lys,1.333333333
33,W-C,w,c,0530lys,1.333333333
33,W-C,w,c,0603lys,0.333333333
33,W-C,w,c,0610lys,0.666666667
33,W-C,w,c,0624lys,2.666666667
33,W-C,w,c,0628lys,3.333333333
34,W-C,w,c,0324lys,1.666666667
34,W-C,w,c,0423lys,3.333333333
34,W-C,w,c,0428lys,3
34,W-C,w,c,0430lys,1
34,W-C,w,c,0504lys,0.666666667
34,W-C,w,c,0511lys,2
34,W-C,w,c,0525lys,1
34,W-C,w,c,0528lys,2.333333333
34,W-C,w,c,0530lys,1
34,W-C,w,c,0603lys,0
34,W-C,w,c,0610lys,0.333333333
34,W-C,w,c,0624lys,1
34,W-C,w,c,0628lys,2.333333333
35,W-L,w,l,0324lys,2.666666667
35,W-L,w,l,0423lys,3
35,W-L,w,l,0428lys,4.333333333
35,W-L,w,l,0430lys,1.666666667
35,W-L,w,l,0504lys,0
35,W-L,w,l,0511lys,0.666666667
35,W-L,w,l,0525lys,0.333333333
35,W-L,w,l,0528lys,1.333333333
35,W-L,w,l,0530lys,1.333333333
35,W-L,w,l,0603lys,0.666666667
35,W-L,w,l,0610lys,1
35,W-L,w,l,0624lys,0
35,W-L,w,l,0628lys,0.666666667
36,G-L,g,l,0324lys,3.666666667
36,G-L,g,l,0504lys,0.333333333
36,G-L,g,l,0511lys,0.666666667
36,G-L,g,l,0525lys,3
36,G-L,g,l,0528lys,3
36,G-L,g,l,0530lys,2.333333333
36,G-L,g,l,0610lys,0.333333333
36,G-L,g,l,0624lys,1.333333333
