iguanaID,tx,diet,lps,time,glycerol
19,W-C,w,c,0430gly,0.309482002
19,W-C,w,c,0504gly,3.16015625
19,W-C,w,c,0511gly,0.95991984
19,W-C,w,c,0525gly,1.76940133
19,W-C,w,c,0528gly,2.928263426
19,W-C,w,c,0530gly,0.509604077
19,W-C,w,c,0603gly,0.5078125
19,W-C,w,c,0610gly,0.776475513
19,W-C,w,c,0624gly,0.540061974
19,W-C,w,c,0628gly,5.691609977
20,W-C,w,c,0324gly,0.289005659
20,W-C,w,c,0423gly,0.122425185
20,W-C,w,c,0428gly,1.712028095
20,W-C,w,c,0430gly,0.5618964
20,W-C,w,c,0504gly,0.267578125
20,W-C,w,c,0511gly,0.593186373
20,W-C,w,c,0525gly,0.299334812
20,W-C,w,c,0528gly,2.440219522
20,W-C,w,c,0530gly,0.425323403
20,W-C,w,c,0603gly,0.646701389
20,W-C,w,c,0610gly,0.301381331
20,W-C,w,c,0624gly,0.907481186
20,W-C,w,c,0628gly,1.149659864
21,W-L,w,l,0324gly,0
21,W-L,w,l,0423gly,0.223474543
21,W-L,w,l,0428gly,0.248024583
21,W-L,w,l,0430gly,0.092186128
21,W-L,w,l,0504gly,0.09765625
21,W-L,w,l,0511gly,0.190380762
21,W-L,w,l,0525gly,0.507760532
21,W-L,w,l,0528gly,0.264602117
21,W-L,w,l,0530gly,0.239121913
21,W-L,w,l,0603gly,0.171440972
21,W-L,w,l,0610gly,0.261615739
21,W-L,w,l,0624gly,0.500221337
21,W-L,w,l,0628gly,0.224489796
22,G-L,g,l,0324gly,0.054567502
22,G-L,g,l,0423gly,0.08744656
22,G-L,g,l,0428gly,0.083406497
22,G-L,g,l,0430gly,0.368744513
22,G-L,g,l,0504gly,4.986328125
22,G-L,g,l,0511gly,0.653306613
22,G-L,g,l,0525gly,4.011086475
22,G-L,g,l,0528gly,0.233241866
22,G-L,g,l,0530gly,0.936887495
22,G-L,g,l,0603gly,0.303819444
22,G-L,g,l,0610gly,1.701548765
22,G-L,g,l,0624gly,0.672864099
22,G-L,g,l,0628gly,0.410430839
23,G-C,g,c,0324gly,0
23,G-C,g,c,0423gly,0.343956471
23,G-C,g,c,0428gly,0.324846356
23,G-C,g,c,0430gly,0.338015803
23,G-C,g,c,0504gly,0.517578125
23,G-C,g,c,0511gly,1.813627255
23,G-C,g,c,0525gly,1.738359202
23,G-C,g,c,0528gly,0.466483732
23,G-C,g,c,0530gly,0.254802038
23,G-C,g,c,0603gly,0.173611111
23,G-C,g,c,0610gly,0.837170364
23,G-C,g,c,0624gly,5.993802568
23,G-C,g,c,0628gly,7.01814059
24,G-L,g,l,0324gly,0
24,G-L,g,l,0423gly,3.027594248
24,G-L,g,l,0428gly,0.291922739
24,G-L,g,l,0430gly,1.189640035
24,G-L,g,l,0504gly,1.279296875
24,G-L,g,l,0511gly,1.264529058
24,G-L,g,l,0528gly,4.537436299
24,G-L,g,l,0530gly,3.504508036
24,G-L,g,l,0603gly,3.474392361
24,G-L,g,l,0610gly,5.311845961
24,G-L,g,l,0624gly,6.093404161
24,G-L,g,l,0628gly,5.424036281
25,G-C,g,c,0324gly,0.361762328
25,G-C,g,c,0423gly,0.357559269
25,G-C,g,c,0428gly,0.278753292
25,G-C,g,c,0430gly,0.443371378
25,G-C,g,c,0504gly,6.39453125
25,G-C,g,c,0511gly,2.318637275
25,G-C,g,c,0525gly,3.035476718
25,G-C,g,c,0528gly,0.717365739
25,G-C,g,c,0530gly,6.091728734
25,G-C,g,c,0603gly,2.165798611
25,G-C,g,c,0610gly,5.041858518
25,G-C,g,c,0624gly,5.340858787
25,G-C,g,c,0628gly,4.861678005
26,W-L,w,l,0324gly,0.040420372
26,W-L,w,l,0423gly,0.530509133
26,W-L,w,l,0428gly,0.153643547
26,W-L,w,l,0430gly,0.467515364
26,W-L,w,l,0504gly,0.328125
26,W-L,w,l,0511gly,4.166332665
26,W-L,w,l,0525gly,5.062084257
26,W-L,w,l,0528gly,0.319482556
26,W-L,w,l,0530gly,1.709133673
26,W-L,w,l,0603gly,2.690972222
26,W-L,w,l,0610gly,2.021766429
26,W-L,w,l,0624gly,0.239043825
26,W-L,w,l,0628gly,0.780045351
27,W-C,w,c,0324gly,0
27,W-C,w,c,0423gly,0.845316751
27,W-C,w,c,0428gly,0.158033363
27,W-C,w,c,0430gly,0.138279192
27,W-C,w,c,0504gly,0.236328125
27,W-C,w,c,0511gly,2.116232465
27,W-C,w,c,0525gly,1.308203991
27,W-C,w,c,0528gly,0.254802038
27,W-C,w,c,0530gly,0.115640925
27,W-C,w,c,0603gly,0.197482639
27,W-C,w,c,0610gly,0.473001256
27,W-C,w,c,0624gly,0.905267818
27,W-C,w,c,0628gly,2.827664399
28,G-L,g,l,0324gly,0
28,G-L,g,l,0423gly,3.289933929
28,G-L,g,l,0428gly,0.487269535
28,G-L,g,l,0430gly,1.181640625
28,G-L,g,l,0504gly,0.521484375
28,G-L,g,l,0511gly,6.446893788
28,G-L,g,l,0525gly,1.849223947
28,G-L,g,l,0528gly,0.413563309
28,G-L,g,l,0530gly,2.445746528
28,G-L,g,l,0603gly,8.986545139
28,G-L,g,l,0610gly,3.627040603
28,G-L,g,l,0624gly,7.078353254
28,G-L,g,l,0628gly,0.603174603
29,G-L,g,l,0324gly,0
29,G-L,g,l,0423gly,1.690633502
29,G-L,g,l,0428gly,0.169007902
29,G-L,g,l,0430gly,0.37890625
29,G-L,g,l,0504gly,5.328125
29,G-L,g,l,0511gly,0.609218437
29,G-L,g,l,0525gly,6.427937916
29,G-L,g,l,0528gly,1.571932575
29,G-L,g,l,0530gly,4.5703125
29,G-L,g,l,0603gly,5.950520833
29,G-L,g,l,0610gly,5.4604437
29,G-L,g,l,0624gly,6.157591855
30,W-C,w,c,0324gly,0
30,W-C,w,c,0423gly,0.421686747
30,W-C,w,c,0428gly,0.219490781
30,W-C,w,c,0430gly,0.291015625
30,W-C,w,c,0504gly,0.091796875
30,W-C,w,c,0511gly,1.174348697
30,W-C,w,c,0525gly,1.833702882
30,W-C,w,c,0528gly,0.442963544
30,W-C,w,c,0530gly,0.559895833
30,W-C,w,c,0603gly,0.720486111
30,W-C,w,c,0610gly,1.262034324
30,W-C,w,c,0624gly,0.305444887
30,W-C,w,c,0628gly,1.394557823
31,G-L,g,l,0324gly,0
31,G-L,g,l,0423gly,1.461329188
31,G-L,g,l,0428gly,0.278753292
31,G-L,g,l,0430gly,0.66796875
31,G-L,g,l,0504gly,0.412109375
