iguanaID,tx,diet,lps,time,glu
33,W-C,w,c,0430glu,300
33,W-C,w,c,0525glu,326
33,W-C,w,c,0528glu,409
33,W-C,w,c,0530glu,447
33,W-C,w,c,0624glu,320
33,W-C,w,c,0628glu,331
34,W-C,w,c,0324glu,208
34,W-C,w,c,0423glu,312
34,W-C,w,c,0428glu,424
34,W-C,w,c,0430glu,385
34,W-C,w,c,0525glu,291
34,W-C,w,c,0528glu,321
34,W-C,w,c,0530glu,413
34,W-C,w,c,0624glu,300
34,W-C,w,c,0628glu,350
35,W-L,w,l,0324glu,193
35,W-L,w,l,0423glu,191
35,W-L,w,l,0428glu,252
35,W-L,w,l,0430glu,217
35,W-L,w,l,0525glu,189
35,W-L,w,l,0528glu,306
35,W-L,w,l,0530glu,290
35,W-L,w,l,0624glu,258
35,W-L,w,l,0628glu,321
36,G-L,g,l,0324glu,241
36,G-L,g,l,0423glu,197
36,G-L,g,l,0428glu,195
36,G-L,g,l,0430glu,215
36,G-L,g,l,0525glu,150
36,G-L,g,l,0528glu,194
36,G-L,g,l,0530glu,217
36,G-L,g,l,0624glu,236
36,G-L,g,l,0628glu,177
